date,05时,06时,07时,08时,09时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时
2017年8月7日,108,807,380,690,1180,1478,1488,972,840,565,681,935,1245,1247,1283,743,442,247,85
2017年8月8日,175,872,151,667,1133,1509,1429,984,892,468,611,1041,1017,753,849,702,503,283,63
2017年8月9日,267,1040,363,381,1245,1519,1498,1361,792,948,809,859,1255,971,1173,1036,609,251,83
2017年8月10日,121,770,263,755,1372,1524,1298,1035,922,750,560,768,1292,1096,1192,629,479,299,25
2017年8月11日,154,764,232,546,1193,1529,1465,1167,790,667,541,810,1124,1135,1103,860,401,244,84
2017年8月12日,152,750,251,500,1355,1492,1535,1056,947,641,798,1001,1269,1097,928,581,442,297,67
2017年8月13日,161,848,241,526,1362,1698,1282,991,1139,835,671,908,1285,1358,1040,911,620,323,161
2017年8月14日,140,759,319,500,1508,1645,1552,796,889,693,596,854,1208,1445,970,650,483,217,41
2017年8月15日,96,810,229,537,1321,1610,1050,932,848,710,668,1000,1147,943,1070,700,438,119,48
2017年8月16日,123,725,316,418,1255,1586,1422,1025,976,691,533,788,1013,1186,994,807,436,214,24
2017年8月17日,131,729,280,539,1276,1422,1201,880,821,577,612,855,1030,1280,1042,671,358,213,45
2017年8月18日,162,699,269,383,1378,1496,1338,906,831,741,573,837,1028,1067,1026,770,610,277,34
2017年8月19日,142,610,233,688,1272,1519,1512,942,934,579,626,1073,1023,1108,959,615,424,319,93
2017年8月20日,250,676,225,439,1147,1582,1621,1310,988,695,725,819,938,1083,1269,836,487,318,33
2017年8月21日,151,743,275,474,1307,1569,1526,956,729,574,570,757,1374,952,957,707,391,181,20
2017年8月22日,162,757,222,542,1370,1327,887,977,857,527,529,810,1186,892,873,676,411,143,7
2017年8月23日,137,585,289,366,1122,1499,1312,957,824,698,544,701,1002,1002,964,919,434,232,22
2017年8月24日,159,675,244,565,1272,1345,1036,1103,644,592,648,764,1189,1067,967,702,321,171,13
2017年8月25日,134,673,180,436,1109,1406,1532,956,693,784,581,771,865,1105,1132,772,423,239,24
2017年8月26日,145,484,261,552,1289,1308,1334,808,830,555,611,703,1273,910,906,712,374,102,10
2017年8月27日,145,484,261,552,1289,1308,1334,808,830,555,611,703,1273,910,906,712,374,102,10
2017年8月28日,118,615,306,386,1160,1203,1075,737,712,495,550,611,890,934,870,719,373,168,12
2017年8月29日,131,796,175,436,1010,1043,979,764,457,515,575,798,715,826,878,599,449,132,1
2017年8月30日,144,711,204,325,1100,1296,957,934,652,552,383,522,651,957,928,558,435,235,4
2017年8月31日,151,564,247,465,996,1009,841,643,379,428,429,526,835,770,786,545,374,138,0
2017年9月1日,131,533,142,279,918,1191,944,720,609,472,375,528,715,836,644,526,386,153,13
2017年9月2日,144,481,213,506,995,881,1089,629,461,356,421,559,822,872,532,461,364,105,0
2017年9月3日,143,562,141,304,927,1041,777,775,691,498,358,572,712,831,642,434,345,165,16
2017年9月4日,144,505,138,229,918,904,987,493,569,343,391,485,650,693,780,479,299,171,9
2017年9月5日,106,589,192,414,853,826,978,663,338,441,408,604,834,776,578,501,362,204,16
2017年9月6日,99,564,151,215,895,1067,1018,596,530,390,286,574,803,931,624,574,304,159,12
2017年9月7日,145,555,194,424,921,795,826,711,426,396,391,577,927,794,510,484,383,129,36
2017年9月8日,96,555,146,279,834,1026,844,589,750,437,379,578,869,897,752,510,286,146,12
2017年9月9日,132,427,134,468,1090,888,1037,635,572,369,542,581,988,610,591,472,446,188,11
2017年9月10日,145,605,135,272,817,1036,752,825,704,479,403,601,836,821,524,412,338,159,67
2017年9月11日,102,500,180,253,943,896,729,502,524,377,471,697,921,697,637,428,195,117,22
2017年9月12日,72,613,166,390,854,856,774,744,463,415,560,775,658,689,487,390,255,81,25
2017年9月13日,125,553,129,159,887,1173,1075,771,644,471,357,626,894,868,564,472,183,167,17
2017年9月14日,158,555,232,398,837,732,851,678,431,467,635,791,909,805,557,437,334,114,0
2017年9月15日,187,520,136,305,853,915,769,595,684,444,465,642,734,954,790,346,222,112,8
2017年9月16日,109,472,210,434,879,906,1096,636,472,398,581,658,861,809,588,310,191,95,0
2017年9月17日,133,592,119,267,1002,1098,767,691,706,392,515,588,821,786,483,397,364,175,7
2017年9月18日,132,571,134,238,737,867,734,578,645,352,466,698,626,879,646,301,216,84,12
2017年9月19日,138,549,188,378,895,693,637,639,402,425,434,563,733,693,587,337,299,144,24
2017年9月20日,149,539,162,271,818,1225,1047,687,554,575,517,603,750,887,562,462,203,119,14
2017年9月21日,127,693,161,356,925,785,632,695,555,489,429,586,845,617,617,261,225,143,39
2017年9月22日,135,607,145,229,864,992,698,604,725,435,405,622,670,877,678,367,310,95,4
2017年9月23日,155,416,138,377,941,866,768,644,505,359,481,547,689,689,627,407,235,126,19
2017年9月24日,161,716,129,249,844,997,772,748,578,420,458,727,819,830,567,299,230,139,9
2017年9月25日,128,552,138,224,748,892,728,291,192,119,185,604,670,758,722,394,204,112,32
2017年9月26日,99,574,256,384,663,770,726,753,469,436,449,656,811,683,514,463,281,179,96
2017年9月27日,133,573,105,237,723,970,842,665,894,426,494,602,703,798,713,533,333,186,11
2017年9月28日,141,606,158,337,696,883,930,694,536,419,612,732,889,772,677,380,262,157,12
2017年9月29日,149,507,116,219,732,901,739,624,600,557,408,511,834,959,668,479,257,143,16
2017年9月30日,169,428,112,466,750,870,817,618,486,350,558,640,826,886,861,475,397,177,0
2017年10月1日,150,643,133,306,982,900,828,814,750,444,423,727,886,845,763,477,408,238,68
2017年10月2日,178,521,118,325,860,1047,826,601,509,472,498,705,847,1104,708,370,202,84,23
2017年10月3日,151,602,152,390,783,811,851,702,454,382,620,664,899,799,540,387,296,122,0
2017年10月4日,162,513,68,259,771,992,759,602,529,492,237,408,745,829,663,408,231,116,24
2017年10月5日,135,532,282,318,691,927,796,769,364,448,460,782,934,777,638,423,342,134,7
2017年10月6日,146,544,93,254,825,993,789,549,682,616,460,656,836,830,605,444,324,79,5
2017年10月7日,167,448,145,381,819,841,906,624,555,412,592,720,913,783,728,430,331,101,7
2017年10月8日,103,647,140,227,994,1031,767,792,864,537,418,641,769,817,670,310,245,140,67
2017年10月9日,137,555,166,256,853,765,516,561,595,482,392,556,827,829,603,395,203,73,14
2017年10月10日,93,461,233,455,735,894,774,703,456,378,456,577,876,730,499,268,228,40,2
2017年10月11日,124,559,148,239,866,997,997,648,648,360,351,520,728,690,663,330,292,143,10
2017年10月12日,108,547,156,381,621,845,618,739,458,397,411,760,824,658,496,279,173,73,2
2017年10月13日,117,469,137,226,690,777,699,633,550,487,334,514,621,796,482,321,252,86,2
2017年10月14日,90,321,139,359,948,894,627,630,404,376,473,503,811,578,456,261,307,121,0
2017年10月15日,120,588,69,199,643,915,642,722,707,463,429,495,749,733,464,331,315,90,15
2017年10月16日,75,554,160,183,618,791,724,461,397,310,322,491,616,564,494,325,135,52,16
2017年10月17日,81,487,201,360,594,758,724,699,406,363,477,560,744,571,458,251,214,68,2
2017年10月18日,111,411,160,209,631,1029,973,682,664,352,268,551,619,624,380,186,90,56,15
2017年10月19日,116,528,148,368,586,910,864,744,467,466,555,642,795,694,383,258,132,63,1
2017年10月20日,85,552,137,249,675,808,867,501,553,387,337,609,684,847,550,332,133,94,32
2017年10月21日,77,396,193,385,809,895,809,507,584,376,414,518,652,507,389,235,223,103,0
2017年10月22日,139,576,108,212,717,769,545,581,609,470,420,517,740,732,504,367,385,107,13
2017年10月23日,161,473,132,249,579,697,711,512,366,303,319,425,696,725,327,85,93,37,1
